Permalink,Comment
1468985433282200,🤨
1468985433282200,Money
1468985433282200,Money Money Money!!!!!
1468985433282200,"I heard that before when my Father in law passed. Heard every person who had covid??? The Dr. Would get $37,000 for each Covid"
1468985433282200,There you go
1468966036617473,Truth!
1468966036617473,Sickening
1468966036617473,Vote red in November.
1468966036617473,Vote Red or America is Dead..
1468966036617473,Disgusting.
1468966036617473,"Hold a ""protest"" daily in your church.  Not against the law.Heck, many of the churches are called Protestants right?…See More"
1468966036617473,So Disgusting
1468966036617473,Truth
1468966036617473,"Exactly.  And, how can they reenact Covid restrictions without sounding completely hypocritical?  Who would listen to them?"
1468966036617473,Hypocrites
1468966036617473,Lol all I have to say
1468966036617473,"Yes, one must question why"
1468966036617473,Why! Because not enough of us died from coronahoax! Something bad will happen soon cause of these riots i dont think we have seen the worst yet. Population control is coming!
1468966036617473,No logic or common sense at all!
1468966036617473,"Thank you, took the words right out of my mouth.   They also hoped the peaceful protestors, who filled for permits that they denied, wished for their deaths, said they should be denied healthcare, said they were selfish, but didn't vandalize anything o…See More"
1468966036617473,What bullshit !
1468966036617473,Heartbreaking. Just heartbreaking.
1468966036617473,It’s maddening right ? But as long as the media pushes that narrative then it’s all ok
1468966036617473,It’s the fucking truth!
1468966036617473,Just watched tucker how a black man demanded a white woman get down on her knees and apologize for being white. Fuck that!
1464372097076867,This needs to be done in every state
1464372097076867,It's going on every where yesterday across states. Just don't burn steal or loot. Take a stand for America 🇺🇸 Amen 🙏
1464372097076867,"Greetings from Texas. i want to give thanks to dr Azaka for bringing back my ex husband with his love spell, No one could have ever made me believe that the letter I’m about to write would actually one day be written. I was the world’s biggest skeptic.…See More"
1464325527081524,Wish I was there
1468954873285256,Where's the Bible?
1468954873285256,If that’s a real bible I can’t believe his hand isn’t on fire.
1468954873285256,"They’re all hypocrite, there time for redemption will come"
1468954873285256,"What a total total evil jack ass he is, he’s the one that flew on Epstein’s plane all the time a disgusting person"
1468954873285256,Thank you. Now we need one with Obama.
1468954873285256,"Just because you attend church does not make you a good Christian, just as not attending church makes you a bad Christian."
1468954873285256,Yup!! Perfectly he can do it!! 👺👺👺
1468954873285256,Dickhead
1468954873285256,He didn't have to shoot and gas people to take that photo.
1468954873285256,They didn't
1468954873285256,Waiting for the bolt of lightning to smite his happy a$$
1468954873285256,Do they give out cigars at his church?
1468954873285256,"Slick Willie with a book he's never read... maybe ""Playboy"" or ""Penthouse"" is more his style."
1468954873285256,That’s what keeps all the phone numbers of all the young little girls
1468954873285256,That was a gift he gave Monica along with money to buy a new dress.
1468954873285256,He loved people...especially young women
1468954873285256,That ain't  a Bible ..thats his little black book with  all his hoes and bitches phone numbers and the hit lists of who to kill....I meant who's suicide to attend....
1468954873285256,🤣🤣👍👍
1468954873285256,Fucktard
1468954873285256,Trump 2020!
1468954873285256,Puke.
1468954873285256,OK OK....I JUST SHARED THIS PICTURE AND POST AND IT GOT CENSORED! 😂 NO JOKE!
1468954873285256,Trump 2020
1468954873285256,🤬
1468954873285256,I would be willing to bet he never cracked that open and read any of it !! RAPIST !!
1468954873285256,Of course the left is nothing but double standards.
1468954873285256,Trump 2020
1468954873285256,this will help us reopen the state! glad this group is on point and collectively working to get us back and running.
1468954873285256,The Book is not thick enouth to hold the old and new Testament! People really need to search the scriptures the predictions in the Old Testament and the prediction when it came to pass in the New Testament!
1468954873285256,"Is this the Bible, Bill found at Epstein's Island Compound?"
1468954873285256,Hypocrisy in action
1468954873285256,did clinton gas inocent people to get that photo op?
1468954873285256,I bet you he actually took time to pray in that church and didn’t have to tear gas and shoot at American citizens to get in.
1468954873285256,Screwed them to the wall 😂🤣😜
1468954873285256,Whats this picture of Clinton?
1468954873285256,"What do you mean he usually attended, are you sure you didn't mean he rarely attended?"
1468954873285256,I did have have sex with that woman. She just blow me!!😃☹️🤣
1468954873285256,No one gassed anyone. Get the facts. No one was gassed and there were no rubber bullets. They were asked to move 3 times. They were too close. They started throwing frozen bottles of water and glass at the officers. Get the facts
1468954873285256,I’m just surprised he didn’t catch on fire 🔥
1468954873285256,He looked better in his dress.
1468954873285256,Awesome 👏
1468954873285256,Get your story straight before posting on Facebook. Listening to the fake media?
1468954873285256,I did not have sexual relations with that woman.. Monica Lewinsky...😳😳😳... perjured himself in front of America on live television... and we all know how that went...
1468954873285256,The general that was there said no one was gassed because of Trump. Park Rangers gas protesters for trying to push the fence over on the Rangers and it happened several minutes before TRUMP was there. But I'm sure the liberals wont believe it because the ENQUIRER I mean CNN didn't run the story..They couldn't run the story or they would have been FIRED...🇺🇸🇺🇸🇺🇸✌
1468954873285256,Yep. And even the gasing was a lie.https://thefederalist.com/.../media-falsely-claimed.../
1468954873285256,Woops another president did that?my my my.
1468954873285256,The pages are all ripped out of it. He has child porn mags in there
1468954873285256,loser
1465672960280114,That is a bow to tyranny.
1465672960280114,👍🇺🇸👍
1465672960280114,"Actually,  they kind of ARE bowing to tyranny."
1465672960280114,"That’s not bowing to tyranny, that’s flat out prostration."
1465672960280114,Giving in to what they want is bowing to tyranny. There “citation” isn’t legal.  They could write “you owe the state 2 mil per day” doesn’t make it legal or true.  Pay them in Monopoly money..closing is only hurting your business and the people In the community.  Governors office obviously doesn’t care weather u open or close so...
1465672960280114,"Get used to it, it is only going to get worse, progressive globalist are bound an determined to tear this country apart..."
1465672960280114,I'm thinking they went from bowing straight to bending over.
1465672960280114,You are bowing down your closing that's what they want.  You want to stick it to them don't pay the fine and keep your doors open
1465672960280114,Just stay open and don’t pay the fine
1465672960280114,"If this is real, it sucks. Eff the government. Sorry you’re quitting, would love to give you my business."
1465672960280114,I refuse to live in fear Let Freedom Ring🇺🇸🇺🇸🇺🇸🇺🇸
1465672960280114,Looks to me like Ocean View bowed to tyranny. STAY OPEN and PROVE you're not bowing down.
1465672960280114,THIS IS THE COUNTRY YA'LL HAVE WANTED...
1465672960280114,"COME ON COWBOY UP,!!, it seems you have the people on your side that's all you need."
1465672960280114,Conservatives: Calling every rule they don`t like TYRANNY!
1465672960280114,It's our right if we want to wear a mask or not those with asthma can't wear a mask because it causes us to lose our breathe and gets us very sick and some has died due to this mask wearing. If no one likes it ooooh well. Them mask are not safe to wear at all because there's people dying everyday from wearing them........
1465672960280114,Spine 👌straight. May the force be with you 🙏
1465672960280114,God Bless you! I will not shop where I have to wear a mask because of this plandemic!
1465672960280114,Closing the doors is also bowing to tyranny.
1465672960280114,Won’t bow down but you did when you closed your doors
1465672960280114,"Good for them. Wearing a mask should only be a personal choice,  not mandated by government."
1465672960280114,"Aside from the legality issues, they are really not necessary against a virus. Says so on the CDC website and included in every surgical masks shipment as a disclaimer."
1465672960280114,Thank you for your services and so very sorry you have to close. God bless you and yours
1465672960280114,"Very unfair ,"
1465672960280114,"Good for you guys, but I wouldn’t pay the fine, F them"
1465672960280114,Don’t close!
1463681577145919,Maybe made up numbers!!!!
1463681577145919,Must have counted their death toll correctly😂😂😂😂😂
1463681577145919,Maybe differences in cultural hygiene and standard (before Covid-19) safety practices. Such as normalizing wearing a mask when you are sick to protect others from your sickness.
